"task_id","task_name","primary_skill","secondary_skills","complexity_level","estimated_hours","required_experience","productivity_factor","adjusted_hours","team_size","collaboration_required","dependencies","critical_path","skill_learning_curve","ramp_up_hours","resource_notes","alternative_approach","risk_factors","mitigation_strategy","quality_overhead","review_hours","documentation_hours","testing_coordination","integration_overhead"
"TASK-001","Define User, Role, and PasswordHistory EF Core Entities","EF Core","C#,PostgreSQL","Low","6","Mid","1","7.8","1","","","true","None","","Straightforward entity definition based on provided schema.","N/A","None","N/A","0.9","0.6","0.3","",""
"TASK-002","Implement EF Core DbContext and Initial Migration","EF Core","PostgreSQL,C#","Low","6.3","Mid","1","8.19","1","","TASK-001","true","None","","Requires database connection string and EF Core tools.","N/A","Initial database connection issues.","Verify connectivity with a DB client first.","0.95","0.63","0.32","",""
"TASK-003","Implement BCrypt Password Hashing Service","Security","C#,BCrypt","Medium","6.2","Mid","1","8.06","1","","","true","Low","1","Security-sensitive task requiring careful implementation.","N/A","Incorrect implementation of hashing algorithm.","Strict code review by a senior developer.","0.93","0.62","0.31","",""
"TASK-004","Create Login View and ViewModel","WPF","XAML,MVVM","Low","8.3","Mid","1","10.79","1","true","","true","None","","Standard MVVM implementation for a login form.","N/A","None","N/A","1.25","0.83","0.42","",""
"TASK-005","Implement Backend Authentication Service","C#","EF Core,async/await,Security","Medium","10","Mid","1","13","1","","TASK-002,TASK-003","true","None","","Orchestrates several components; requires integration testing.","N/A","Logic errors in handling different auth failure states.","Comprehensive integration tests for all auth scenarios.","1.5","1","0.5","",""
"TASK-006","Implement Centralized Authorization Service","C#","Security,RBAC","Low","6","Mid","1","7.8","1","","TASK-005","true","None","","Requires management of user session state.","N/A","None","N/A","0.9","0.6","0.3","",""
"TASK-007","Implement Role-Based UI Visibility Converter","WPF","XAML,C#","Low","5.2","Mid","1","6.76","1","","TASK-006","","None","","Reusable component for enforcing RBAC in the UI.","N/A","None","N/A","0.78","0.52","0.26","",""
"TASK-008","Implement Application-Wide Inactivity Monitor","P/Invoke","C#,Windows API","High","12.7","Senior","1","16.51","1","","","true","Medium","2","Requires deep knowledge of Windows messaging and low-level hooks.","N/A","Performance overhead, instability from unmanaged code.","Assign to Lead Developer; implement in isolated PoC first.","1.91","1.27","0.64","",""
"TASK-009","Implement Lock Screen UI Trigger","WPF","MVVM","Low","2","Mid","1","2.6","1","true","TASK-008,TASK-010","true","None","","Simple integration task.","N/A","None","N/A","0.3","0.2","0.1","",""
"TASK-014","Create Admin UI for Password Policy","WPF","XAML,MVVM","Low","8","Mid","1","10.4","1","true","","","None","","Standard settings page implementation.","N/A","None","N/A","1.2","0.8","0.4","",""
"TASK-015","Implement Password Policy Validator Service","C#","EF Core,Regex,Security","Medium","16","Mid","1","20.8","1","","TASK-002","true","Low","1","Requires careful testing of all validation rules.","N/A","Incomplete validation logic could create security loopholes.","Extensive unit testing for each validation rule.","2.4","1.6","0.8","",""
"TASK-010","Create Lock Screen View and ViewModel","WPF","XAML,MVVM","Low","4.2","Mid","1","5.46","1","true","","true","None","","UI for re-authentication.","N/A","None","N/A","0.63","0.42","0.21","",""
"TASK-011","Implement Session Unlock Logic and Attempt Counter","C#","MVVM,Security","Medium","7.8","Mid","1","10.14","1","","TASK-005,TASK-010","true","None","","Implements business logic for failed unlock attempts.","N/A","State management for the attempt counter.","Clear unit tests for the counter logic.","1.17","0.78","0.39","",""
"TASK-016","Create Forced Password Change View and ViewModel","WPF","XAML,MVVM","Low","8","Mid","1","10.4","1","true","","true","None","","Modal UI that must block other interactions.","N/A","None","N/A","1.2","0.8","0.4","",""
"TASK-017","Modify Authentication Flow for Forced Change","C#","WPF,Security","Medium","6.2","Mid","1","8.06","1","","TASK-005","true","None","","Modifies core application startup and navigation logic.","N/A","Potential to break normal login flow.","Regression testing of standard login path.","0.93","0.62","0.31","",""
"TASK-018","Implement Password Update and Validation Logic","C#","MVVM,EF Core,Security","Medium","10","Mid","1","13","1","","TASK-015,TASK-016,TASK-017","true","None","","Final step in the secure password reset workflow.","N/A","Database transaction must be atomic.","Wrap DB updates in a single transaction.","1.5","1","0.5","",""
"TASK-026","Implement C-STORE SCP Listener Hosted Service","fo-dicom","C#,.NET Hosted Services","High","16.7","Senior","1","21.71","1","","","true","Medium","4","Requires expertise in DICOM networking and fo-dicom library.","N/A","DICOM interoperability issues (RISK-008).","Assign to Lead Developer; test against DCMTK early.","2.51","1.67","0.84","",""
"TASK-027","Implement Asynchronous Ingestion Publisher","RabbitMQ","fo-dicom,C#","Medium","14.3","Mid","1","18.59","1","","TASK-026","true","Low","2","Decouples DICOM reception from processing.","N/A","Message loss if queues/messages are not configured as durable/persistent.","Enforce durable/persistent configuration in code.","2.15","1.43","0.72","",""
"TASK-028","Implement Ingestion Queue Consumer Logic","RabbitMQ","EF Core,C#,Transaction Management","High","20.7","Senior","1","26.91","1","true","TASK-027","true","Low","2","Complex logic requiring atomic DB writes and file moves.","N/A","Partial failure could lead to data inconsistency (DB record without a file).","Implement idempotent consumer and robust error handling.","3.11","2.07","1.04","",""
"TASK-029","Configure Dead-Letter Queue for Ingestion","RabbitMQ","C#","Medium","6","Mid","1","7.8","1","","TASK-028","","Low","1","Crucial for system reliability and handling poison messages.","N/A","RISK-005: Incorrect configuration could lead to message loss instead of DLQ routing.","Integration test with a poison message.","0.9","0.6","0.3","",""
